team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
West Ham United,home,2024-12-09,15,2024-2025,Jarrod Bowen,20,ENG,"FW,RW,RM",27-355,90,1,1,0,0,3,2,1,0,49,2,1,1,0.2,0.2,0.1,7,3,24,33,72.7,2,26,3,4,2,418,97,11,13,84.6,10,13,76.9,2,4,50.0,0.1,3,1,1,0,28,4,1,0,0,4,0,2,2,0,0,1,1,1,0,0,2,2,3,66.7,1,1,0,3,0,0,1,2,20,27,9,49,50.0,2,50.0,140,88,1,3,4,4,37,6,0,0,3,0,0,0,0,3,0,3,0.0
West Ham United,home,2024-12-09,15,2024-2025,Crysencio Summerville,7,NED,LW,23-040,72,0,0,0,0,3,0,0,0,37,0,0,2,0.1,0.1,0.3,6,0,23,28,82.1,2,19,6,2,1,398,113,15,16,93.8,5,6,83.3,3,5,60.0,0.4,4,1,2,0,22,6,0,1,0,5,0,5,3,0,0,0,1,0,0,0,0,0,0,,0,0,2,0,0,0,0,2,10,25,8,37,50.0,0,0.0,142,103,1,3,1,2,25,8,0,1,4,2,0,0,0,2,0,2,0.0
West Ham United,home,2024-12-09,15,2024-2025,Danny Ings,18,ENG,FW,32-139,18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,9,33.3,1,4,1,1,0,44,13,1,3,33.3,2,3,66.7,0,1,0.0,0.0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,4,5,0,10,0.0,1,100.0,26,14,0,0,0,1,8,1,0,0,0,0,0,0,0,1,2,1,66.7
West Ham United,home,2024-12-09,15,2024-2025,Mohammed Kudus,14,GHA,"RW,LW",24-129,86,0,1,0,0,3,1,0,0,53,3,0,1,0.1,0.1,0.0,6,1,31,35,88.6,2,29,1,7,4,466,42,17,17,100.0,11,12,91.7,2,3,66.7,0.1,1,0,3,1,35,0,0,0,0,3,0,0,0,0,0,0,2,2,1,1,1,0,2,0.0,2,0,1,3,0,0,0,5,17,32,6,53,57.1,2,28.6,169,72,2,1,4,3,39,4,0,2,2,2,0,0,0,5,0,1,0.0
West Ham United,home,2024-12-09,15,2024-2025,Guido Rodríguez,24,ARG,"CM,LW",30-241,4,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,2,1,0,0,0,77,50,2,2,100.0,3,3,100.0,0,0,,0.0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,0,0,5,,0,,5,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
West Ham United,home,2024-12-09,15,2024-2025,Carlos Soler,4,ESP,AM,27-342,63,0,0,0,0,2,0,1,0,42,1,0,0,0.2,0.2,0.0,4,0,34,37,91.9,6,20,0,1,1,588,260,19,19,100.0,14,16,87.5,1,2,50.0,0.1,0,6,1,0,31,6,4,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,1,0,0,0,9,23,11,1,42,100.0,0,0.0,84,26,0,0,1,1,31,2,0,1,0,0,0,0,0,4,0,1,0.0
West Ham United,home,2024-12-09,15,2024-2025,Lucas Paquetá,10,BRA,"AM,LM",27-104,27,0,0,0,0,1,0,0,0,15,0,1,0,0.0,0.0,0.0,1,0,8,12,66.7,0,7,0,2,2,112,14,6,8,75.0,2,3,66.7,0,1,0.0,0.0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,1,1,0,1,3,9,3,0,15,100.0,0,0.0,24,11,1,0,0,0,11,0,0,1,2,0,0,0,0,1,0,1,0.0
West Ham United,home,2024-12-09,15,2024-2025,Tomáš Souček,28,CZE,"DM,CM",29-286,90,1,0,0,0,3,1,0,0,41,0,0,0,0.1,0.1,0.0,4,0,18,33,54.5,2,11,0,0,0,317,129,9,17,52.9,6,9,66.7,3,3,100.0,0.0,0,5,0,0,32,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,0,0,0,0,1,0,2,3,28,10,3,41,,0,,39,16,0,0,1,0,29,1,0,4,1,0,0,0,0,2,6,8,42.9
West Ham United,home,2024-12-09,15,2024-2025,Edson Álvarez,19,MEX,DM,27-046,87,0,0,0,0,0,0,0,0,38,3,0,2,0.0,0.0,0.0,1,0,23,27,85.2,1,12,0,0,0,402,182,9,10,90.0,13,15,86.7,1,2,50.0,0.0,0,3,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,33.3,2,1,1,3,2,0,4,6,29,3,0,38,,0,,60,44,0,0,2,1,20,0,0,0,1,0,0,0,0,3,3,1,75.0
West Ham United,home,2024-12-09,15,2024-2025,Jean-Clair Todibo,25,FRA,"CB,DM",24-345,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
West Ham United,home,2024-12-09,15,2024-2025,Emerson Palmieri,33,ITA,LB,30-128,87,0,0,0,0,0,0,1,0,57,0,2,0,0.0,0.0,0.0,2,0,44,55,80.0,3,19,3,1,1,723,265,20,24,83.3,16,18,88.9,5,10,50.0,0.1,1,2,1,0,41,14,3,1,0,3,8,3,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,1,0,2,13,33,12,1,57,100.0,0,0.0,160,101,2,0,0,0,29,2,0,1,2,0,0,0,0,8,0,0,
West Ham United,home,2024-12-09,15,2024-2025,Aaron Cresswell,3,ENG,LB,34-360,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.1,1,0,2,2,100.0,0,0,0,0,0,63,52,0,0,,1,1,100.0,1,1,100.0,0.1,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
West Ham United,home,2024-12-09,15,2024-2025,Max Kilman,26,ENG,CB,27-200,90,0,0,0,0,2,0,0,0,74,1,1,2,0.1,0.1,0.1,2,0,49,60,81.7,1,30,1,1,0,963,341,15,19,78.9,31,35,88.6,3,5,60.0,0.1,1,3,0,0,58,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,0,2,0,2,7,0,13,39,29,6,4,74,0.0,1,100.0,118,66,0,1,0,0,48,0,0,0,0,0,0,0,0,3,7,1,87.5
West Ham United,home,2024-12-09,15,2024-2025,Konstantinos Mavropanos,15,GRE,CB,26-364,90,0,0,0,0,2,0,0,0,64,2,3,1,0.2,0.2,0.0,0,0,45,50,90.0,5,31,0,0,0,1062,374,9,11,81.8,29,30,96.7,7,9,77.8,0.0,0,4,1,0,49,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,100.0,0,1,0,5,3,0,6,28,31,5,3,64,,0,,126,79,0,0,1,0,38,0,0,0,2,0,0,0,0,4,1,3,25.0
West Ham United,home,2024-12-09,15,2024-2025,Aaron Wan-Bissaka,29,ENG,RB,27-013,90,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.1,2,0,43,52,82.7,2,22,5,0,0,625,206,27,29,93.1,14,19,73.7,1,2,50.0,0.1,2,3,2,2,46,6,0,0,0,4,6,0,0,0,0,0,2,1,0,1,0,0,0,,0,1,0,1,3,0,4,12,31,15,1,58,,0,,160,118,4,0,1,1,35,5,0,1,0,0,0,0,0,4,1,1,50.0
West Ham United,home,2024-12-09,15,2024-2025,Łukasz Fabiański,1,POL,GK,39-235,90,0,0,0,0,0,0,1,0,42,0,0,0,0.0,0.0,0.0,0,0,23,42,54.8,0,20,0,0,0,765,597,4,4,100.0,8,8,100.0,11,30,36.7,0.0,0,1,0,0,29,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,29,39,3,0,0,42,,0,,115,93,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Jørgen Strand Larsen,9,NOR,FW,24-307,61,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,10,14,71.4,2,11,0,1,1,172,39,6,6,100.0,1,2,50.0,2,2,100.0,0.0,0,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,0,2,3,11,6,1,20,100.0,0,0.0,38,11,0,0,3,1,17,3,0,2,0,0,0,0,0,2,3,4,42.9
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Gonçalo Guedes,29,POR,"FW,AM",28-010,29,0,0,0,0,2,1,0,0,12,0,0,0,0.1,0.1,0.0,2,1,5,7,71.4,3,12,1,0,0,106,55,1,2,50.0,3,3,100.0,1,2,50.0,0.1,1,1,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,1,4,8,3,12,,0,,75,52,1,0,3,0,12,2,0,2,0,0,0,0,0,1,0,1,0.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Matheus Cunha,10,BRA,"AM,FW",25-196,90,0,0,0,0,2,1,1,0,48,0,1,0,0.0,0.0,0.4,5,0,28,38,73.7,8,31,4,2,1,506,180,14,18,77.8,9,12,75.0,4,5,80.0,0.2,4,4,5,1,35,3,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,5,26,19,1,48,50.0,1,50.0,218,133,5,0,5,3,32,6,0,1,1,0,0,0,0,8,2,0,100.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,João Gomes,8,BRA,AM,23-301,77,0,0,0,0,2,1,1,0,28,1,0,0,0.3,0.3,0.1,2,0,19,24,79.2,5,18,2,0,0,368,80,6,8,75.0,10,12,83.3,2,3,66.7,0.0,2,3,1,0,21,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,2,0,0,1,0,0,0,0,19,9,2,28,,0,,136,67,2,0,0,2,21,3,0,6,1,0,0,0,0,1,0,2,0.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Tommy Doyle,20,ENG,"CM,AM",23-053,13,0,0,0,0,1,0,0,0,19,1,0,0,0.1,0.1,0.0,1,0,12,15,80.0,1,12,1,1,1,298,134,3,3,100.0,6,6,100.0,3,6,50.0,0.1,1,2,0,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,50.0,1,0,0,1,0,0,1,5,12,2,1,19,100.0,0,0.0,88,47,0,0,0,0,12,0,0,0,1,0,0,0,0,3,0,0,
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Mario Lemina,5,GAB,CM,31-099,90,0,0,0,0,4,1,1,0,46,6,0,1,0.3,0.3,0.0,2,0,25,32,78.1,3,17,0,0,0,467,122,10,11,90.9,11,11,100.0,4,9,44.4,0.0,1,1,0,0,28,4,2,0,0,0,2,0,0,0,0,0,0,3,3,3,0,2,3,66.7,1,0,1,6,5,1,7,20,21,5,2,46,,0,,115,47,1,0,0,2,21,0,0,0,1,1,0,0,0,5,3,6,33.3
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,André,7,BRA,CM,23-146,61,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.1,4,0,14,16,87.5,3,7,0,0,0,263,59,7,7,100.0,5,6,83.3,2,2,100.0,0.0,1,1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0.0,1,0,0,2,0,0,0,5,12,4,0,21,,0,,54,17,0,0,1,1,13,0,0,0,1,0,0,0,0,1,1,1,50.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Jean-Ricner Bellegarde,27,FRA,"CM,AM",26-165,29,0,0,0,0,2,0,0,0,11,1,1,1,0.1,0.1,0.0,1,0,2,4,50.0,0,2,1,1,0,40,12,0,1,0.0,2,3,66.7,0,0,,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,1,0,2,0,0,2,4,3,5,3,11,0.0,1,100.0,38,29,1,0,0,0,3,0,0,1,1,0,0,0,0,1,1,1,50.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Rayan Aït-Nouri,3,ALG,WB,23-186,85,0,1,0,0,1,0,0,0,35,2,0,3,0.0,0.0,0.3,3,1,25,28,89.3,2,18,2,2,2,340,99,17,17,100.0,8,10,80.0,0,1,0.0,0.1,2,1,1,1,25,3,0,0,0,3,3,0,0,0,0,0,0,1,1,1,0,0,1,0.0,1,1,2,2,1,0,2,9,15,11,2,35,100.0,0,0.0,95,58,2,1,0,0,18,6,0,0,1,0,0,0,0,4,0,1,0.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Rodrigo Gomes,19,POR,WB,21-155,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,1,0,0,0,45,19,3,3,100.0,1,3,33.3,0,0,,0.0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,2,1,0,6,,0,,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Matt Doherty,2,IRL,WB,32-328,90,1,0,0,0,4,1,1,0,70,2,1,1,0.4,0.4,0.2,5,0,42,56,75.0,1,28,2,1,1,730,235,20,26,76.9,19,25,76.0,3,5,60.0,0.1,1,3,1,1,47,9,0,0,0,3,9,0,0,0,0,0,0,1,1,1,0,0,1,0.0,1,1,0,3,4,0,6,17,32,21,7,70,100.0,0,0.0,128,58,1,2,1,0,40,11,0,3,2,0,0,0,0,7,5,0,100.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Toti Gomes,24,POR,CB,25-328,90,0,0,0,0,0,0,0,0,52,2,0,3,0.0,0.0,0.0,1,0,32,42,76.2,2,23,0,2,1,566,275,8,10,80.0,19,23,82.6,2,6,33.3,0.0,1,1,0,0,40,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,100.0,0,3,0,2,5,0,11,33,17,2,1,52,50.0,1,50.0,101,46,0,0,0,0,27,1,0,0,2,0,0,0,0,3,3,1,75.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Santiago Bueno,4,URU,CB,26-030,90,0,0,0,0,0,0,0,0,41,0,0,1,0.0,0.0,0.0,0,0,28,38,73.7,2,12,1,0,0,517,207,11,15,73.3,16,18,88.9,1,4,25.0,0.0,0,0,0,0,35,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,2,0,3,20,20,1,0,41,,0,,66,30,0,0,0,0,23,0,0,1,0,0,0,0,0,1,5,2,71.4
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Nélson Semedo,22,POR,CB,31-023,90,0,0,0,0,1,0,0,0,62,2,1,4,0.1,0.1,0.0,4,0,41,50,82.0,3,41,1,2,1,776,186,16,18,88.9,19,22,86.4,6,7,85.7,0.0,1,6,0,0,48,1,1,0,1,0,0,0,0,0,0,1,2,0,2,0,0,2,2,100.0,0,2,2,3,2,0,10,26,32,6,0,62,50.0,1,50.0,234,100,1,0,1,0,42,2,0,1,1,0,0,0,0,8,1,1,50.0
Wolverhampton Wanderers,away,2024-12-09,15,2024-2025,Sam Johnstone,31,ENG,GK,31-259,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,24,39,61.5,0,25,0,0,0,970,837,1,1,100.0,9,9,100.0,14,29,48.3,0.0,0,4,0,0,30,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,29,42,0,0,0,42,,0,,133,58,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,
Newcastle United,home,2024-12-14,16,2024-2025,Alexander Isak,14,SWE,FW,25-084,72,1,1,0,0,4,3,0,0,30,0,0,0,1.4,1.4,0.5,8,1,15,21,71.4,7,18,3,8,6,237,59,10,13,76.9,4,6,66.7,1,2,50.0,0.2,4,0,3,0,19,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,7,22,5,30,75.0,2,25.0,111,74,2,2,0,2,20,10,0,0,1,0,0,0,0,2,0,1,0.0
Newcastle United,home,2024-12-14,16,2024-2025,William Osula,18,DEN,FW,21-132,18,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,1,1,100.0,1,1,0,0,0,27,19,0,0,,1,1,100.0,0,0,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,1,0,3,,0,,13,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,100.0
Newcastle United,home,2024-12-14,16,2024-2025,Anthony Gordon,10,ENG,LW,23-294,80,0,1,0,0,3,1,0,0,55,1,0,4,0.1,0.1,0.2,10,4,39,43,90.7,6,40,5,5,2,590,216,21,21,100.0,13,15,86.7,3,5,60.0,0.4,4,5,3,1,39,4,2,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,1,3,1,0,0,1,8,19,31,10,55,40.0,3,60.0,253,169,4,3,1,2,43,10,0,0,3,0,0,0,0,5,0,1,0.0
Newcastle United,home,2024-12-14,16,2024-2025,Joe Willock,28,ENG,LW,25-116,10,0,0,0,0,0,0,0,0,12,1,1,0,0.0,0.0,0.0,0,0,7,8,87.5,0,8,0,2,0,88,7,5,5,100.0,2,2,100.0,0,0,,0.0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,100.0,0,0,0,2,0,0,0,0,6,6,0,12,0.0,1,50.0,26,3,0,0,1,0,6,1,0,0,1,0,0,0,0,2,0,0,
Newcastle United,home,2024-12-14,16,2024-2025,Jacob Murphy,23,ENG,RW,29-294,64,2,0,0,0,4,2,1,0,35,0,0,3,0.6,0.6,0.3,3,0,14,20,70.0,3,18,2,0,0,274,103,7,9,77.8,5,7,71.4,2,2,100.0,0.1,2,1,3,1,19,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,3,0,3,6,11,18,5,35,,0,,83,34,0,1,0,2,20,7,0,2,0,0,0,0,0,2,0,1,0.0
Newcastle United,home,2024-12-14,16,2024-2025,Harvey Barnes,11,ENG,RW,27-005,26,0,0,0,0,4,2,0,0,33,0,0,0,0.2,0.2,0.1,3,0,21,27,77.8,3,26,4,2,1,312,42,9,12,75.0,12,15,80.0,0,0,,0.2,1,1,0,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,15,18,5,33,50.0,0,0.0,181,94,0,2,0,0,31,7,0,0,1,0,0,0,0,1,0,1,0.0
Newcastle United,home,2024-12-14,16,2024-2025,Joelinton,7,BRA,LM,28-122,90,0,0,0,0,3,2,1,0,53,1,0,2,0.2,0.2,0.5,6,1,39,42,92.9,7,27,1,1,0,544,176,27,30,90.0,11,11,100.0,1,1,100.0,0.2,2,3,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1,0,2,1,3,0,1,12,24,17,3,53,0.0,1,100.0,78,41,0,1,0,0,39,3,0,1,0,0,0,0,0,3,1,0,100.0
Newcastle United,home,2024-12-14,16,2024-2025,Sandro Tonali,8,ITA,CM,24-220,90,0,0,0,0,3,0,0,0,92,1,3,1,0.2,0.2,0.0,4,1,74,82,90.2,7,60,0,0,0,1199,308,43,47,91.5,22,24,91.7,8,8,100.0,0.0,1,10,1,0,78,4,3,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0.0,1,0,1,4,0,0,0,17,56,21,1,92,,0,,265,90,1,0,1,1,62,5,0,0,3,0,0,0,0,12,0,1,0.0
Newcastle United,home,2024-12-14,16,2024-2025,Bruno Guimarães,39,BRA,RM,27-028,64,1,0,0,0,2,1,1,0,38,1,1,0,0.8,0.8,0.1,4,0,22,27,81.5,6,26,1,2,0,387,158,10,10,100.0,10,14,71.4,2,3,66.7,0.2,1,5,1,0,26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1,0,0,2,0,0,0,9,15,14,4,38,0.0,1,50.0,110,49,2,0,3,0,30,3,0,2,2,0,0,0,0,0,1,0,100.0
Newcastle United,home,2024-12-14,16,2024-2025,Sean Longstaff,36,ENG,RM,27-045,26,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,1,0,17,23,73.9,2,17,0,2,1,236,68,10,14,71.4,6,6,100.0,0,1,0.0,0.0,1,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,9,6,26,50.0,1,50.0,109,52,0,0,0,0,20,3,0,0,0,0,0,0,0,1,0,0,
