team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Le Havre,home,2024-08-16,1,2024-2025,Josué Casimir,23,FRA,"FW,LW",22-327,90,0,0,0,0,1,0,0,0,25,1,0,1,0.0,0.0,0.1,3,0,13,19,68.4,1,14,3,1,1,222,24,7,9,77.8,5,6,83.3,1,1,100.0,0.0,1,1,0,0,17,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,1,1,1,0,1,3,15,7,3,25,100.0,0,0.0,92,64,1,1,1,3,20,5,0,2,2,1,0,0,0,2,1,2,33.3
Le Havre,home,2024-08-16,1,2024-2025,Antoine Joujou,21,FRA,LW,21-157,75,0,0,0,0,1,0,1,0,28,1,0,2,0.0,0.0,0.0,0,0,7,15,46.7,0,18,1,5,1,76,16,4,9,44.4,2,2,100.0,0,0,,0.0,0,1,0,0,15,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,2,1,0,0,0,7,11,11,2,28,20.0,4,80.0,109,46,0,1,2,1,16,3,0,1,0,0,0,0,0,5,0,2,0.0
Le Havre,home,2024-08-16,1,2024-2025,Steve Ngoura,77,FRA,FW,19-176,15,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,0,1,0,0,0,85,3,2,2,100.0,3,3,100.0,0,0,,0.0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,7,2,0,10,,0,,2,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,1,1,50.0
Le Havre,home,2024-08-16,1,2024-2025,Yassine Kechta,8,MAR,RW,22-173,86,0,0,0,0,0,0,0,0,34,5,1,0,0.0,0.0,0.1,3,1,19,23,82.6,2,18,3,2,1,298,102,11,13,84.6,6,8,75.0,2,2,100.0,0.0,2,1,1,1,22,1,1,0,0,1,0,0,0,0,0,0,0,4,2,3,0,2,2,100.0,0,0,0,6,0,0,0,9,21,6,0,34,50.0,0,0.0,136,91,1,0,4,1,21,4,0,0,5,0,0,0,0,6,0,1,0.0
Le Havre,home,2024-08-16,1,2024-2025,Kandet Diawara,15,GUI,RW,24-188,4,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,6,0,1,2,50.0,0,0,,0,0,,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,1,3,0,0,4,,0,,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
Le Havre,home,2024-08-16,1,2024-2025,Rassoul Ndiaye,19,SEN,LM,22-249,75,0,0,0,0,0,0,0,0,27,5,1,1,0.0,0.0,0.0,1,0,11,18,61.1,1,13,0,1,0,226,110,3,4,75.0,5,8,62.5,2,3,66.7,0.0,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,1,1,100.0,0,0,1,6,0,0,2,11,11,5,1,27,0.0,1,100.0,47,10,0,0,0,0,14,1,0,0,0,0,0,0,0,4,0,0,
Le Havre,home,2024-08-16,1,2024-2025,Samuel Grandsir,29,FRA,LM,28-002,15,0,0,0,0,0,0,0,0,3,1,0,1,0.0,0.0,0.0,0,0,0,0,,0,2,0,0,0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,1,0,0,0,0,3,0,0,3,,0,,14,6,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0.0
Le Havre,home,2024-08-16,1,2024-2025,Abdoulaye Touré,94,GUI,CM,30-166,90,0,0,0,0,2,1,0,0,39,2,2,2,0.1,0.1,0.0,1,0,25,30,83.3,5,22,0,1,0,423,184,12,14,85.7,8,8,100.0,3,4,75.0,0.0,0,3,0,0,28,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,100.0,0,1,1,4,1,0,4,14,19,6,1,39,0.0,1,100.0,86,36,0,0,1,1,21,0,0,1,0,0,0,0,0,5,1,1,50.0
Le Havre,home,2024-08-16,1,2024-2025,Daler Kuzyaev,14,RUS,RM,31-214,90,0,0,0,0,0,0,0,0,34,3,1,0,0.0,0.0,0.0,0,0,20,27,74.1,4,16,0,1,0,307,111,11,14,78.6,6,6,100.0,2,5,40.0,0.1,0,2,0,0,25,2,1,0,0,3,0,1,1,0,0,0,1,2,2,1,0,0,1,0.0,1,0,0,4,0,0,2,7,21,6,1,34,0.0,1,100.0,52,10,0,0,1,0,19,2,0,0,1,0,0,0,0,3,0,0,
Le Havre,home,2024-08-16,1,2024-2025,Christopher Operi,27,CIV,LB,27-109,90,0,1,0,0,0,0,0,0,45,0,1,2,0.0,0.0,0.0,1,1,26,34,76.5,2,14,0,0,0,509,291,10,13,76.9,11,12,91.7,5,8,62.5,0.0,1,1,0,0,22,12,4,0,1,4,7,1,1,0,0,0,1,0,0,0,0,0,0,,0,1,1,1,5,0,8,18,19,8,1,45,,0,,79,19,0,0,2,0,17,0,0,0,0,0,0,0,0,4,1,0,100.0
