team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Freiburg,home,2022-04-16,30,2021-2022,Nils Petersen,18,GER,FW,33-131,64,0,0,0,0,2,0,0,0,21,0,1,0,0.0,0.0,0.1,1,0,9,15,60.0,0,11,1,1,1,137,10,5,6,83.3,4,5,80.0,0,1,0.0,0.1,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0,2,0,0,1,1,0,1,2,6,13,7,21,100.0,0,0.0,62,25,0,1,1,0,13,3,0,0,0,0,0,0,0,1,1,4,20.0
Freiburg,home,2022-04-16,30,2021-2022,Ermedin Demirović,11,BIH,FW,24-022,26,0,0,0,0,2,1,0,0,10,0,0,0,0.4,0.4,0.3,1,0,4,5,80.0,1,8,1,1,0,49,14,2,2,100.0,2,2,100.0,0,0,,0.1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,1,1,8,4,10,0.0,1,100.0,35,16,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,
Freiburg,home,2022-04-16,30,2021-2022,Vincenzo Grifo,32,ITA,LW,29-009,90,0,0,0,0,1,0,0,0,61,1,0,0,0.1,0.1,0.1,6,2,53,58,91.4,6,42,2,4,3,856,304,30,32,93.8,11,13,84.6,8,8,100.0,0.4,2,2,5,1,53,5,2,0,0,4,0,2,0,2,0,0,1,0,0,0,1,1,2,50.0,1,0,0,1,0,0,0,4,27,31,2,61,75.0,1,25.0,167,94,2,1,0,0,52,5,0,0,0,0,0,0,0,2,0,0,
Freiburg,home,2022-04-16,30,2021-2022,Roland Sallai,22,HUN,RW,24-329,72,2,0,0,0,4,2,0,0,41,1,0,0,0.5,0.5,0.7,4,0,17,29,58.6,5,29,2,4,1,247,51,9,12,75.0,7,10,70.0,0,0,,0.8,2,3,1,0,29,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,,0,0,0,1,0,0,0,3,19,20,7,41,25.0,3,75.0,178,85,1,0,2,1,35,13,0,2,2,1,0,0,0,4,2,1,66.7
Freiburg,home,2022-04-16,30,2021-2022,Noah Weißhaupt,33,GER,RW,20-208,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,6,0,0,0,127,45,5,5,100.0,3,3,100.0,0,0,,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,5,5,1,11,,0,,4,0,0,0,1,0,8,0,0,1,0,0,0,0,0,1,0,0,
Freiburg,home,2022-04-16,30,2021-2022,Jeong Woo-yeong,29,KOR,AM,22-208,64,0,2,0,0,2,1,0,0,33,0,0,0,0.1,0.1,0.2,6,2,18,28,64.3,7,26,3,3,2,295,150,8,12,66.7,6,6,100.0,2,5,40.0,0.2,4,3,5,1,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,16,16,2,33,66.7,1,33.3,133,61,1,1,2,0,28,3,0,0,0,1,0,0,0,3,1,0,100.0
Freiburg,home,2022-04-16,30,2021-2022,Lucas Höler,9,GER,AM,27-280,26,0,0,0,0,1,1,0,0,14,0,0,0,0.3,0.3,0.0,1,0,9,10,90.0,1,8,0,0,0,127,10,6,6,100.0,3,3,100.0,0,0,,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,5,2,14,,0,,23,3,0,0,2,0,13,2,0,0,0,1,0,0,0,1,0,0,
Freiburg,home,2022-04-16,30,2021-2022,Nicolas Höfler,27,GER,DM,32-038,81,0,1,0,0,0,0,0,0,45,1,0,1,0.0,0.0,0.1,3,2,38,42,90.5,6,26,0,3,3,698,220,17,20,85.0,15,15,100.0,5,6,83.3,0.0,1,5,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,1,1,0,1,1,0,1,11,26,8,0,45,100.0,0,0.0,116,29,3,0,0,0,32,2,0,0,2,0,0,0,0,8,0,1,0.0
Freiburg,home,2022-04-16,30,2021-2022,Janik Haberer,19,GER,DM,28-014,9,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,1,0,5,5,100.0,1,2,0,0,0,74,24,3,3,100.0,2,2,100.0,0,0,,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,2,5,0,0,7,,0,,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0.0
Freiburg,home,2022-04-16,30,2021-2022,Maximilian Eggestein,8,GER,DM,25-129,90,0,0,0,0,1,1,0,0,71,4,1,0,0.1,0.1,0.0,3,0,55,61,90.2,8,36,3,1,0,784,227,27,31,87.1,21,21,100.0,2,4,50.0,0.2,1,4,2,0,61,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,3,66.7,1,0,0,5,0,0,0,10,46,16,3,71,0.0,1,100.0,170,76,0,0,3,0,54,5,0,1,1,0,0,0,0,7,1,1,50.0
Freiburg,home,2022-04-16,30,2021-2022,Christian Günter,30,GER,LB,29-047,90,0,0,0,0,0,0,0,0,48,1,0,0,0.0,0.0,0.5,2,0,31,44,70.5,2,23,2,1,0,504,216,16,20,80.0,10,14,71.4,3,4,75.0,0.2,2,3,2,2,31,13,0,0,0,4,12,1,0,1,0,0,1,1,1,0,0,0,0,,0,0,0,1,0,0,0,15,16,17,2,48,0.0,1,100.0,134,48,1,1,2,0,29,7,0,2,0,0,0,0,0,2,0,0,
Freiburg,home,2022-04-16,30,2021-2022,Nico Schlotterbeck,4,GER,CB,22-136,90,0,0,0,0,1,1,0,0,90,2,1,0,0.6,0.6,0.0,1,0,71,82,86.6,6,50,1,0,0,1484,597,23,24,95.8,36,39,92.3,10,15,66.7,0.1,0,7,1,0,75,6,2,0,3,0,0,0,0,0,0,1,1,2,1,1,0,1,1,100.0,0,0,0,3,2,0,8,37,51,2,2,90,,0,,255,161,0,0,0,0,54,0,0,1,2,0,0,0,0,10,6,2,75.0
Freiburg,home,2022-04-16,30,2021-2022,Philipp Lienhart,3,AUT,CB,25-279,90,0,0,0,0,0,0,0,0,77,0,0,0,0.0,0.0,0.0,0,0,64,72,88.9,4,49,0,0,0,1429,423,15,16,93.8,34,35,97.1,15,20,75.0,0.0,0,1,0,0,69,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,2,50,28,1,0,77,,0,,283,163,1,0,2,1,57,0,0,0,1,0,0,0,0,10,2,0,100.0
Freiburg,home,2022-04-16,30,2021-2022,Lukas Kübler,17,GER,RB,29-229,64,1,0,0,0,1,1,0,0,42,3,1,2,0.1,0.1,0.0,0,0,24,32,75.0,1,17,0,0,0,460,118,8,9,88.9,12,15,80.0,3,4,75.0,0.0,0,1,0,0,22,9,1,0,0,1,8,0,0,0,0,1,2,2,0,0,3,2,2,100.0,0,0,2,4,1,0,2,9,24,9,1,42,,0,,62,16,0,0,0,2,19,2,0,1,1,0,0,0,0,3,1,3,25.0
Freiburg,home,2022-04-16,30,2021-2022,Jonathan Schmid,7,FRA,RB,31-298,26,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.2,1,0,19,21,90.5,2,10,1,2,1,323,103,9,9,100.0,7,8,87.5,2,3,66.7,0.2,1,2,0,0,19,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,6,11,6,2,22,50.0,1,50.0,54,27,0,1,0,0,17,6,0,0,0,0,0,0,0,1,0,1,0.0
Freiburg,home,2022-04-16,30,2021-2022,Mark Flekken,26,NED,GK,28-307,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,36,47,76.6,0,32,0,0,0,1083,713,5,5,100.0,14,14,100.0,17,28,60.7,0.0,0,2,0,0,42,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,33,47,0,0,0,47,,0,,214,159,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,
Bochum,away,2022-04-16,30,2021-2022,Sebastian Polter,40,GER,FW,31-015,65,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,7,11,63.6,1,10,0,0,0,92,6,3,5,60.0,3,5,60.0,0,0,,0.1,0,1,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,5,2,12,,0,,30,9,0,0,0,1,12,3,0,4,1,0,0,0,0,0,1,3,25.0
Bochum,away,2022-04-16,30,2021-2022,Jürgen Locadia,19,CUW,FW,28-160,25,0,0,0,0,1,0,0,0,14,1,0,0,0.0,0.0,0.0,2,0,5,8,62.5,0,7,1,0,0,156,4,1,2,50.0,2,4,50.0,2,2,100.0,0.0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,9,5,1,14,,0,,22,8,1,1,1,0,12,0,0,0,0,0,0,0,0,1,2,2,50.0
Bochum,away,2022-04-16,30,2021-2022,Takuma Asano,10,JPN,LW,27-157,45,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,10,11,90.9,0,11,1,1,0,137,37,7,8,87.5,2,2,100.0,1,1,100.0,0.2,1,1,1,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,3,8,1,16,0.0,1,100.0,82,47,1,0,1,1,10,1,0,0,1,0,0,0,0,2,0,2,0.0
Bochum,away,2022-04-16,30,2021-2022,Danny Blum,7,GER,"LW,LB",31-099,45,0,0,0,0,1,1,0,0,21,0,0,2,0.0,0.0,0.1,1,0,12,17,70.6,0,6,1,0,0,262,137,5,5,100.0,3,3,100.0,4,7,57.1,0.1,1,1,0,0,10,7,1,0,0,3,3,3,2,1,0,0,1,0,0,0,0,0,1,0.0,1,0,2,0,1,0,1,4,8,9,1,21,,0,,56,27,1,0,1,0,8,1,0,0,0,0,0,0,0,1,2,0,100.0
Bochum,away,2022-04-16,30,2021-2022,Miloš Pantović,27,SRB,RW,25-283,45,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,0,6,0,0,0,68,10,3,5,60.0,2,3,66.7,0,0,,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,1,4,5,0,10,,0,,9,3,0,0,0,1,6,1,0,0,0,0,0,0,0,2,0,1,0.0
Bochum,away,2022-04-16,30,2021-2022,Simon Zoller,9,GER,"RW,RM",30-294,45,0,0,0,0,1,1,0,0,12,0,1,0,0.1,0.1,0.0,0,0,6,10,60.0,0,4,0,0,0,93,30,3,5,60.0,3,5,60.0,0,0,,0.0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,3,7,2,1,12,,0,,4,2,0,0,0,0,7,0,0,0,0,1,0,0,0,3,0,0,
Bochum,away,2022-04-16,30,2021-2022,Eduard Löwen,38,GER,"LM,AM",25-078,65,0,0,0,0,1,1,0,0,34,2,0,0,0.0,0.0,0.1,6,0,14,29,48.3,0,19,1,2,1,225,69,8,10,80.0,4,10,40.0,2,6,33.3,0.1,3,1,1,1,26,3,2,0,0,3,0,0,0,0,0,0,1,2,1,1,0,0,4,0.0,4,0,0,2,0,0,2,4,14,16,1,34,50.0,1,50.0,48,28,1,0,1,0,20,2,0,2,2,0,0,0,0,4,1,1,50.0
Bochum,away,2022-04-16,30,2021-2022,Patrick Osterhage,6,GER,"LM,AM",22-074,25,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,3,0,0,0,23,14,2,3,66.7,0,0,,0,0,,0.0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,3,1,0,6,,0,,14,11,1,1,1,0,2,1,0,0,0,0,0,0,0,2,0,0,
Bochum,away,2022-04-16,30,2021-2022,Anthony Losilla,8,FRA,"CM,DM",36-037,90,0,0,0,0,1,0,0,0,38,1,2,0,0.1,0.1,0.0,2,0,22,27,81.5,3,19,1,2,1,367,122,12,14,85.7,8,10,80.0,2,3,66.7,0.0,0,2,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,50.0,1,0,0,3,1,0,4,14,19,6,2,38,50.0,1,50.0,100,43,0,0,3,1,23,0,0,1,0,0,0,0,0,3,3,1,75.0
Bochum,away,2022-04-16,30,2021-2022,Kostas Stafylidis,16,GRE,"RM,LB",28-135,67,0,0,0,0,1,0,0,1,38,3,0,2,0.0,0.0,0.1,1,0,22,31,71.0,1,19,1,1,1,459,122,8,11,72.7,9,10,90.0,5,9,55.6,0.1,1,2,1,1,24,7,0,0,0,3,6,1,1,0,0,0,0,2,2,1,0,3,5,60.0,2,0,2,3,0,0,1,18,12,8,0,38,100.0,0,0.0,84,36,0,0,0,1,16,0,0,1,0,0,0,0,0,5,2,2,50.0
Bochum,away,2022-04-16,30,2021-2022,Danilo Soares,3,BRA,LB,30-169,45,0,0,0,0,0,0,0,0,38,2,2,4,0.0,0.0,0.0,1,0,22,27,81.5,2,17,1,3,1,405,135,10,12,83.3,8,9,88.9,4,6,66.7,0.0,1,3,0,0,24,3,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,2,3,66.7,1,0,4,4,0,1,4,20,14,4,0,38,33.3,2,66.7,103,60,2,0,2,2,11,0,0,0,1,0,0,0,0,10,1,0,100.0
Bochum,away,2022-04-16,30,2021-2022,Elvis Rexhbeçaj,20,KVX,"DM,CM",24-166,45,0,0,0,0,1,0,0,0,14,0,2,2,0.0,0.0,0.0,1,0,7,7,100.0,0,7,0,1,1,95,10,4,4,100.0,3,3,100.0,0,0,,0.0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,2,0,0,1,6,6,2,0,14,100.0,0,0.0,21,9,0,0,2,0,8,0,0,2,1,0,0,0,0,2,0,0,
Bochum,away,2022-04-16,30,2021-2022,Maxim Leitsch,29,GER,CB,23-333,90,0,0,0,0,0,0,0,0,50,2,1,2,0.0,0.0,0.0,0,0,31,37,83.8,0,24,0,1,0,608,133,12,12,100.0,13,15,86.7,5,9,55.6,0.0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,100.0,0,2,0,3,4,0,9,32,18,0,0,50,0.0,1,100.0,164,111,0,0,1,0,29,0,0,0,0,0,0,0,0,2,1,1,50.0
