team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Genoa,home,2024-08-17,1,2024-2025,Vitinha,9,POR,FW,24-155,90,0,0,0,0,3,1,0,0,28,0,0,2,0.2,0.2,0.0,5,0,8,13,61.5,1,16,3,6,5,187,4,1,2,50.0,6,7,85.7,1,2,50.0,0.0,0,1,0,0,11,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,2,0,2,4,13,13,5,28,83.3,1,16.7,189,106,2,1,2,2,15,4,0,1,3,0,0,0,0,4,3,4,42.9
Genoa,home,2024-08-17,1,2024-2025,Junior Messias,10,BRA,"FW,RW",33-096,90,1,0,0,1,2,2,0,0,23,0,1,0,1.0,0.0,0.1,4,1,6,8,75.0,1,13,1,4,1,86,19,3,3,100.0,3,4,75.0,0,0,,0.0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,2,0,2,5,10,9,3,22,25.0,3,75.0,48,10,2,0,1,1,13,3,0,0,2,0,0,0,0,2,2,7,22.2
Genoa,home,2024-08-17,1,2024-2025,Morten Frendrup,32,DEN,CM,23-132,90,0,0,0,0,1,1,0,0,34,1,3,2,0.0,0.0,0.0,1,0,20,23,87.0,3,13,0,1,1,285,89,14,15,93.3,4,6,66.7,2,2,100.0,0.1,0,2,0,0,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,2,4,2,0,3,9,18,7,1,34,100.0,0,0.0,47,10,0,0,1,2,13,1,0,3,3,0,0,0,0,5,3,1,75.0
Genoa,home,2024-08-17,1,2024-2025,Milan Badelj,47,CRO,CM,35-174,85,0,0,0,0,1,0,0,0,38,1,0,2,0.1,0.1,0.1,2,0,23,28,82.1,2,20,0,2,1,409,138,11,14,78.6,7,7,100.0,5,7,71.4,0.2,2,2,1,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1,1,1,1,2,0,4,12,22,4,1,38,50.0,0,0.0,65,13,0,0,3,0,20,0,0,1,2,0,0,0,0,3,0,0,
Genoa,home,2024-08-17,1,2024-2025,Jeff Ekhator,21,ITA,LW,17-280,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,12,4,1,2,50.0,0,0,,0,0,,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,3,0,5,,0,,4,0,0,0,3,0,3,1,0,0,0,0,0,0,0,1,1,2,33.3
Genoa,home,2024-08-17,1,2024-2025,Ruslan Malinovskyi,17,UKR,CM,31-105,70,0,0,0,0,1,0,0,0,29,1,1,0,0.0,0.0,0.0,1,0,22,25,88.0,4,18,1,0,0,356,92,12,13,92.3,9,10,90.0,1,1,100.0,0.0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,100.0,0,0,0,2,0,0,1,6,17,6,0,29,,0,,108,27,0,0,0,1,18,1,0,2,0,0,0,0,0,4,1,0,100.0
Genoa,home,2024-08-17,1,2024-2025,Morten Thorsby,2,NOR,CM,28-104,20,0,0,0,0,1,0,0,0,6,0,0,1,0.1,0.1,0.0,0,0,2,4,50.0,1,4,0,0,0,16,19,1,2,50.0,0,0,,0,0,,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,2,2,2,1,6,,0,,12,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,3,0.0
Genoa,home,2024-08-17,1,2024-2025,Aarón Martín,3,ESP,"WB,LM",27-117,90,0,0,0,0,0,0,0,0,40,3,1,0,0.0,0.0,0.0,2,0,20,32,62.5,1,19,2,2,1,352,143,9,9,100.0,10,14,71.4,1,8,12.5,0.0,1,1,0,0,18,14,4,0,0,6,9,1,0,1,0,0,1,3,3,0,0,2,3,66.7,1,0,0,4,1,1,5,12,17,13,0,40,50.0,0,0.0,118,57,1,0,1,0,17,3,0,1,3,0,0,0,0,4,0,1,0.0
Genoa,home,2024-08-17,1,2024-2025,Alessandro Zanoli,59,ITA,WB,23-319,70,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,4,0,0,0,68,22,1,1,100.0,1,4,25.0,1,1,100.0,0.0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,2,5,3,2,0,10,,0,,7,2,0,0,2,0,4,1,0,2,0,0,0,0,0,0,0,1,0.0
Genoa,home,2024-08-17,1,2024-2025,Stefano Sabelli,20,ITA,"WB,RM",31-217,20,0,0,0,0,1,0,0,0,10,0,1,1,0.0,0.0,0.1,1,0,2,5,40.0,0,5,0,0,0,69,61,0,0,,1,3,33.3,1,2,50.0,0.1,1,1,1,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,1,1,0,1,2,2,6,1,10,,0,,30,19,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,
Genoa,home,2024-08-17,1,2024-2025,Koni De Winter,4,BEL,CB,22-066,90,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.0,1,0,25,31,80.6,1,17,2,0,0,452,72,12,13,92.3,8,10,80.0,4,7,57.1,0.0,0,1,0,0,28,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,100.0,0,0,0,2,6,0,9,20,19,0,0,39,,0,,153,64,0,0,0,0,20,0,0,1,1,0,0,0,0,3,2,2,50.0
Genoa,home,2024-08-17,1,2024-2025,Mattia Bani,13,ITA,CB,30-251,90,0,0,0,0,1,1,0,0,25,1,3,0,0.0,0.0,0.0,1,1,13,17,76.5,0,9,0,0,0,271,100,3,3,100.0,7,9,77.8,3,5,60.0,0.0,0,1,0,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,4,3,0,3,15,9,1,1,25,,0,,37,15,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,2,0.0
Genoa,home,2024-08-17,1,2024-2025,Alessandro Vogliacco,14,ITA,CB,25-338,59,1,0,0,0,1,1,0,0,30,1,2,1,0.7,0.7,0.0,1,0,20,24,83.3,2,18,0,0,0,443,227,8,8,100.0,7,9,77.8,5,7,71.4,0.1,0,4,1,1,22,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,100.0,0,1,0,3,1,0,3,12,14,4,1,30,,0,,74,58,2,0,0,1,20,0,0,1,0,0,0,0,0,0,0,1,0.0
Genoa,home,2024-08-17,1,2024-2025,Johan Vásquez,22,MEX,CB,25-300,31,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,9,44.4,0,2,0,0,0,115,50,0,1,0.0,3,6,50.0,1,2,50.0,0.0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,5,5,1,0,10,,0,,23,3,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,
Genoa,home,2024-08-17,1,2024-2025,Pierluigi Gollini,95,ITA,GK,29-152,90,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,0,0,19,33,57.6,0,15,0,0,0,663,520,0,0,,11,11,100.0,8,22,36.4,0.0,0,0,0,0,19,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,32,36,0,0,0,36,,0,,99,55,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,
Internazionale,away,2024-08-17,1,2024-2025,Marcus Thuram,9,FRA,FW,27-011,90,2,0,0,0,5,5,0,0,26,1,0,0,0.8,0.8,0.3,2,0,8,14,57.1,1,16,4,2,1,92,28,6,8,75.0,2,5,40.0,0,0,,0.2,2,0,0,0,13,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0.0,1,0,0,1,1,0,1,3,5,18,12,26,50.0,1,50.0,116,81,2,4,3,1,21,9,0,1,1,1,0,0,0,2,4,0,100.0
Internazionale,away,2024-08-17,1,2024-2025,Lautaro Martínez,10,ARG,"FW,AM",26-361,85,0,0,0,0,1,1,0,0,25,0,0,1,0.3,0.3,0.0,3,0,14,18,77.8,2,17,0,1,0,221,56,8,9,88.9,5,7,71.4,1,1,100.0,0.0,0,1,0,0,15,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,2,11,12,1,25,0.0,1,100.0,49,8,1,0,1,1,18,4,0,4,4,2,0,0,0,4,0,0,
Internazionale,away,2024-08-17,1,2024-2025,Kristjan Asllani,21,ALB,CM,22-161,5,0,0,0,0,1,1,1,0,4,0,0,0,0.3,0.3,0.0,0,0,1,2,50.0,0,1,0,0,0,19,0,0,0,,1,2,50.0,0,0,,0.0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,1,1,2,1,4,,0,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Internazionale,away,2024-08-17,1,2024-2025,Henrikh Mkhitaryan,22,ARM,CM,35-209,65,0,0,0,0,1,0,1,0,33,0,0,1,0.1,0.1,0.0,0,0,21,27,77.8,4,27,1,2,0,339,83,10,11,90.9,10,15,66.7,1,1,100.0,0.0,0,1,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,21,11,0,33,0.0,2,100.0,128,50,2,0,1,0,27,0,0,1,0,1,0,0,0,2,0,0,
