season,venue_date,venue_time,round,attendance_value,referee,home_manager,away_manager,home_captain,away_captain,formation_home,formation_away,home_possession,away_possession,home_lineup,away_lineup,home_team,away_team,home_shirtnumber,home_nationality,home_position,home_age,home_minutes,home_goals,home_assists,home_pens_made,home_pens_att,home_shots,home_shots_on_target,home_cards_yellow,home_cards_red,home_touches,home_tackles,home_interceptions,home_blocks,home_xg,home_npxg,home_xg_assist,home_sca,home_gca,home_passes_completed,home_passes,home_passes_pct,home_progressive_passes,home_carries,home_progressive_carries,home_take_ons,home_take_ons_won,home_passes_total_distance,home_passes_progressive_distance,home_passes_completed_short,home_passes_short,home_passes_pct_short,home_passes_completed_medium,home_passes_medium,home_passes_pct_medium,home_passes_completed_long,home_passes_long,home_passes_pct_long,home_pass_xa,home_assisted_shots,home_passes_into_final_third,home_passes_into_penalty_area,home_crosses_into_penalty_area,home_passes_live,home_passes_dead,home_passes_free_kicks,home_through_balls,home_passes_switches,home_crosses,home_throw_ins,home_corner_kicks,home_corner_kicks_in,home_corner_kicks_out,home_corner_kicks_straight,home_passes_offsides,home_passes_blocked,home_tackles_won,home_tackles_def_3rd,home_tackles_mid_3rd,home_tackles_att_3rd,home_challenge_tackles,home_challenges,home_challenge_tackles_pct,home_challenges_lost,home_blocked_shots,home_blocked_passes,home_tackles_interceptions,home_clearances,home_errors,home_touches_def_pen_area,home_touches_def_3rd,home_touches_mid_3rd,home_touches_att_3rd,home_touches_att_pen_area,home_touches_live_ball,home_take_ons_won_pct,home_take_ons_tackled,home_take_ons_tackled_pct,home_carries_distance,home_carries_progressive_distance,home_carries_into_final_third,home_carries_into_penalty_area,home_miscontrols,home_dispossessed,home_passes_received,home_progressive_passes_received,home_cards_yellow_red,home_fouls,home_fouled,home_offsides,home_pens_won,home_pens_conceded,home_own_goals,home_ball_recoveries,home_aerials_won,home_aerials_lost,home_aerials_won_pct,away_shirtnumber,away_nationality,away_position,away_age,away_minutes,away_goals,away_assists,away_pens_made,away_pens_att,away_shots,away_shots_on_target,away_cards_yellow,away_cards_red,away_touches,away_tackles,away_interceptions,away_blocks,away_xg,away_npxg,away_xg_assist,away_sca,away_gca,away_passes_completed,away_passes,away_passes_pct,away_progressive_passes,away_carries,away_progressive_carries,away_take_ons,away_take_ons_won,away_passes_total_distance,away_passes_progressive_distance,away_passes_completed_short,away_passes_short,away_passes_pct_short,away_passes_completed_medium,away_passes_medium,away_passes_pct_medium,away_passes_completed_long,away_passes_long,away_passes_pct_long,away_pass_xa,away_assisted_shots,away_passes_into_final_third,away_passes_into_penalty_area,away_crosses_into_penalty_area,away_passes_live,away_passes_dead,away_passes_free_kicks,away_through_balls,away_passes_switches,away_crosses,away_throw_ins,away_corner_kicks,away_corner_kicks_in,away_corner_kicks_out,away_corner_kicks_straight,away_passes_offsides,away_passes_blocked,away_tackles_won,away_tackles_def_3rd,away_tackles_mid_3rd,away_tackles_att_3rd,away_challenge_tackles,away_challenges,away_challenge_tackles_pct,away_challenges_lost,away_blocked_shots,away_blocked_passes,away_tackles_interceptions,away_clearances,away_errors,away_touches_def_pen_area,away_touches_def_3rd,away_touches_mid_3rd,away_touches_att_3rd,away_touches_att_pen_area,away_touches_live_ball,away_take_ons_won_pct,away_take_ons_tackled,away_take_ons_tackled_pct,away_carries_distance,away_carries_progressive_distance,away_carries_into_final_third,away_carries_into_penalty_area,away_miscontrols,away_dispossessed,away_passes_received,away_progressive_passes_received,away_cards_yellow_red,away_fouls,away_fouled,away_offsides,away_pens_won,away_pens_conceded,away_own_goals,away_ball_recoveries,away_aerials_won,away_aerials_lost,away_aerials_won_pct
2018-2019,2019-04-27,15:30,31,52500,Benjamin Cortus,Friedhelm Funkel,Florian Kohfeldt,Adam Bodzek,Max Kruse,4-4-2,4-1-4-1,0.46,0.54,"['Michael Rensing', 'Markus Suttner', 'André Hoffmann', 'Kaan Ayhan', 'Benito Raman', 'Kenan Karaman', 'Adam Bodzek', 'Dodi Lukebakio', 'Kevin Stöger', 'Matthias Zimmermann', 'Rouwen Hennings', 'Jaroslav Drobný', 'Alfredo Morales', 'Aymen Barkok', 'Marvin Ducksch', 'Niko Gießelmann', 'Dawid Kownacki', 'Marcin Kamiński']","['Michael Rensing', 'Markus Suttner', 'André Hoffmann', 'Kaan Ayhan', 'Benito Raman', 'Kenan Karaman', 'Adam Bodzek', 'Dodi Lukebakio', 'Kevin Stöger', 'Matthias Zimmermann', 'Rouwen Hennings', 'Jaroslav Drobný', 'Alfredo Morales', 'Aymen Barkok', 'Marvin Ducksch', 'Niko Gießelmann', 'Dawid Kownacki', 'Marcin Kamiński']",Düsseldorf,Werder Bremen,,,,,990,4,3,0,0,13,6,1,0,604,27,10,12,2.1,2.1,2.0,26,8,386,470,82.1,33,355,20,19,12,7622,3006,164,181,90.6,142,169,84.0,69,98,70.4,1.7,10,27,6,1,428,40,14,1,7,13,11,4,3,1,0,2,7,15,17,9,1,16,21,76.2,5,4,8,37,33,0,90,238,282,93,14,604,63.2,7,36.8,1791,947,13,3,14,4,386,33,0,9,13,2,0,1,0,55,15,8,65.2,,,,,990,1,0,1,1,17,8,3,0,666,11,9,11,3.3,2.5,1.6,31,2,462,559,82.6,85,372,27,21,5,8312,3229,182,211,86.3,242,274,88.3,34,62,54.8,1.9,12,67,18,4,508,50,10,1,4,35,20,9,9,0,0,1,9,7,1,8,2,7,19,36.8,12,5,6,20,13,0,35,102,343,224,37,665,23.8,16,76.2,2463,1316,16,1,10,11,459,85,0,15,9,1,1,0,0,54,8,15,34.8
2018-2019,2018-11-11,15:30,11,36155,Martin Petersen,Ralf Rangnick,Heiko Herrlich,Kevin Kampl,Lars Bender,3-5-2,3-4-3,0.43,0.57,"['Péter Gulácsi', 'Dayot Upamecano', 'Ibrahima Konaté', 'Marcel Sabitzer', 'Yussuf Poulsen', 'Timo Werner', 'Stefan Ilsanker', 'Lukas Klostermann', 'Marcel Halstenberg', 'Diego Demme', 'Kevin Kampl', 'Marius Müller', 'Willi Orban', 'Bruma', 'Matheus Cunha', 'Nordi Mukiele', 'Konrad Laimer', 'Jean-Kévin Augustin']","['Péter Gulácsi', 'Dayot Upamecano', 'Ibrahima Konaté', 'Marcel Sabitzer', 'Yussuf Poulsen', 'Timo Werner', 'Stefan Ilsanker', 'Lukas Klostermann', 'Marcel Halstenberg', 'Diego Demme', 'Kevin Kampl', 'Marius Müller', 'Willi Orban', 'Bruma', 'Matheus Cunha', 'Nordi Mukiele', 'Konrad Laimer', 'Jean-Kévin Augustin']",RB Leipzig,Bayer Leverkusen,,,,,990,3,3,0,0,14,6,0,0,569,15,15,8,2.5,2.5,2.5,25,4,347,466,74.5,39,226,17,17,10,5515,2521,162,193,83.9,115,143,80.4,35,74,47.3,1.8,14,29,12,2,411,53,19,3,1,8,20,4,0,2,0,2,10,10,5,8,2,6,14,42.9,8,0,8,30,15,0,37,155,264,154,26,569,58.8,7,41.2,1463,756,10,4,17,6,346,38,0,12,12,2,0,0,0,59,14,16,46.7,,,,,990,0,0,0,0,6,2,1,0,716,13,13,13,0.6,0.6,0.5,12,0,502,621,80.8,33,364,19,14,8,9456,3178,188,224,83.9,211,243,86.8,71,103,68.9,0.4,4,31,4,1,567,47,12,0,10,15,23,3,2,1,0,7,12,8,8,4,1,7,17,41.2,10,3,10,26,13,1,44,236,382,101,5,716,57.1,6,42.9,1938,929,9,2,20,9,499,33,0,13,12,7,0,0,0,71,16,14,53.3
2018-2019,2019-04-13,15:30,29,53657,Tobias Stieler,Markus Weinzierl,Peter Bosz,Andreas Beck,Kevin Volland,3-5-2,4-3-3,0.32,0.68,"['Ron-Robert Zieler', 'Marc-Oliver Kempf', 'Santiago Ascacíbar', 'Gonzalo Castro', 'Steven Zuber', 'Daniel Didavi', 'Alexander Esswein', 'Ozan Kabak', 'Benjamin Pavard', 'Nicolás González', 'Andreas Beck', 'Jens Grahl', 'Emiliano Insúa', 'Timo Baumgartl', 'Anastasios Donis', 'Erik Thommy', 'Borna Sosa', 'Mario Gómez']","['Ron-Robert Zieler', 'Marc-Oliver Kempf', 'Santiago Ascacíbar', 'Gonzalo Castro', 'Steven Zuber', 'Daniel Didavi', 'Alexander Esswein', 'Ozan Kabak', 'Benjamin Pavard', 'Nicolás González', 'Andreas Beck', 'Jens Grahl', 'Emiliano Insúa', 'Timo Baumgartl', 'Anastasios Donis', 'Erik Thommy', 'Borna Sosa', 'Mario Gómez']",Stuttgart,Bayer Leverkusen,,,,,989,0,0,0,0,12,5,1,1,479,24,12,15,0.6,0.6,0.4,23,0,225,351,64.1,39,185,11,8,5,4542,2210,89,112,79.5,82,119,68.9,43,88,48.9,0.7,9,23,5,2,301,45,12,1,4,22,14,7,6,1,0,5,10,17,14,9,1,5,13,38.5,8,2,13,36,22,0,52,164,210,109,12,479,62.5,3,37.5,969,454,11,4,14,6,225,39,0,16,11,5,0,1,0,63,25,24,51.0,,,,,990,1,0,1,1,16,3,0,0,858,9,6,11,2.3,1.5,1.1,30,2,623,747,83.4,56,485,23,13,8,11020,3567,262,295,88.8,265,297,89.2,76,104,73.1,1.3,12,35,12,4,692,54,18,1,5,16,26,6,4,1,0,1,14,6,6,1,2,3,8,37.5,5,3,8,15,21,0,53,207,483,172,26,857,61.5,5,38.5,2294,1142,14,5,22,19,620,56,0,12,13,1,1,0,0,59,24,25,49.0
2018-2019,2018-12-15,15:30,15,27233,Manuel Gräfe,Manuel Baum,Domenico Tedesco ,Daniel Baier,Ralf Fährmann,4-1-4-1,3-4-3,0.49,0.51,"['Andreas Luthe', 'Jeffrey Gouweleeuw', 'Rani Khedira', 'Daniel Baier', 'Michael Gregoritsch', 'Jonathan Schmid', 'Koo Ja-cheol', 'Marco Richter', 'Alfreð Finnbogason', 'Philipp Max', 'Martin Hinteregger', 'Fabian Giefer', 'Sergio Córdova', 'Ji Dong-won', 'André Hahn', 'Caiuby', 'Raphael Framberger', 'Kevin Danso']","['Andreas Luthe', 'Jeffrey Gouweleeuw', 'Rani Khedira', 'Daniel Baier', 'Michael Gregoritsch', 'Jonathan Schmid', 'Koo Ja-cheol', 'Marco Richter', 'Alfreð Finnbogason', 'Philipp Max', 'Martin Hinteregger', 'Fabian Giefer', 'Sergio Córdova', 'Ji Dong-won', 'André Hahn', 'Caiuby', 'Raphael Framberger', 'Kevin Danso']",Augsburg,Schalke 04,,,,,990,1,0,0,0,15,9,2,0,574,24,15,9,1.8,1.8,1.3,26,2,314,453,69.3,29,301,13,17,9,5276,2274,139,171,81.3,114,149,76.5,38,83,45.8,0.8,10,21,12,5,399,52,11,2,1,21,24,6,1,3,0,2,13,11,8,14,2,10,19,52.6,9,3,6,39,15,0,59,173,262,146,21,574,52.9,8,47.1,1549,850,10,3,18,14,310,27,0,17,8,2,0,0,0,57,24,21,53.3,,,,,990,1,0,0,0,15,5,1,0,612,22,10,16,0.7,0.7,0.5,22,0,354,478,74.1,38,313,21,19,9,6647,2745,147,171,86.0,157,197,79.7,43,85,50.6,0.7,10,24,9,2,420,55,18,0,2,18,21,7,0,7,0,3,7,14,9,13,0,8,17,47.1,9,4,12,32,16,1,72,225,284,114,10,612,47.4,10,52.6,1950,999,23,1,19,14,353,38,0,10,17,3,0,0,0,61,21,24,46.7
2018-2019,2019-01-26,15:30,19,21736,Felix Zwayer,Bruno Labbadia,Peter Bosz,Koen Casteels,Lars Bender,4-1-2-1-2,4-3-3,0.46,0.54,"['Koen Casteels', 'William', 'Renato Steffen', 'Wout Weghorst', 'Yannick Gerhardt', 'Admir Mehmedi', 'Jérôme Roussillon', 'John Brooks', 'Maximilian Arnold', 'Robin Knoche', 'Elvis Rexhbeçaj', 'Pavao Pervan', 'Paul Verhaegh', 'Josip Brekalo', 'Yunus Mallı', 'Felix Klaus', 'Ohis Felix Uduokhai', 'Gian-Luca Itter']","['Koen Casteels', 'William', 'Renato Steffen', 'Wout Weghorst', 'Yannick Gerhardt', 'Admir Mehmedi', 'Jérôme Roussillon', 'John Brooks', 'Maximilian Arnold', 'Robin Knoche', 'Elvis Rexhbeçaj', 'Pavao Pervan', 'Paul Verhaegh', 'Josip Brekalo', 'Yunus Mallı', 'Felix Klaus', 'Ohis Felix Uduokhai', 'Gian-Luca Itter']",Wolfsburg,Bayer Leverkusen,,,,,990,0,0,0,0,11,3,5,0,538,19,16,14,1.2,1.2,1.0,20,0,311,423,73.5,32,288,15,14,10,6669,2341,108,129,83.7,140,165,84.8,57,93,61.3,0.5,8,19,8,2,377,40,13,0,9,19,10,5,3,1,1,6,12,13,9,10,0,2,12,16.7,10,2,12,35,17,0,70,174,262,109,20,538,71.4,4,28.6,1605,922,13,4,17,7,309,31,0,10,13,6,0,1,0,57,16,7,69.6,,,,,990,3,2,1,1,22,13,3,0,623,11,10,16,2.8,2.0,1.8,42,5,408,506,80.6,52,356,34,12,10,6852,2841,190,218,87.2,159,189,84.1,38,63,60.3,1.5,19,32,14,1,452,54,14,0,3,16,26,6,6,0,0,0,13,11,6,4,1,4,14,28.6,10,4,12,21,16,0,63,219,260,153,33,622,83.3,2,16.7,2064,1190,25,8,21,17,408,52,0,13,10,0,1,0,0,54,7,16,30.4
2018-2019,2018-11-24,15:30,12,75000,Sven Jablonski,Niko Kovač,Friedhelm Funkel,Manuel Neuer,Oliver Fink,4-1-4-1,4-5-1,0.78,0.22,"['Manuel Neuer', 'Niklas Süle', 'Franck Ribéry', 'Javi Martínez', 'Robert Lewandowski', 'Jérôme Boateng', 'Leon Goretzka', 'Thomas Müller', 'David Alaba', 'Joshua Kimmich', 'Renato Sanches', 'Sven Ulreich', 'Sandro Wagner', 'Mats Hummels', 'Arjen Robben', 'Rafinha', 'Jeong Woo-yeong', 'Jonathan Meier']","['Manuel Neuer', 'Niklas Süle', 'Franck Ribéry', 'Javi Martínez', 'Robert Lewandowski', 'Jérôme Boateng', 'Leon Goretzka', 'Thomas Müller', 'David Alaba', 'Joshua Kimmich', 'Renato Sanches', 'Sven Ulreich', 'Sandro Wagner', 'Mats Hummels', 'Arjen Robben', 'Rafinha', 'Jeong Woo-yeong', 'Jonathan Meier']",Bayern Munich,Düsseldorf,,,,,990,3,2,0,0,17,5,0,0,1033,14,12,5,2.4,2.4,2.2,31,5,819,934,87.7,77,550,24,14,9,13797,4239,396,427,92.7,312,344,90.7,80,106,75.5,2.2,14,71,16,1,889,43,8,2,6,23,18,9,7,2,0,2,19,7,2,6,6,4,8,50.0,4,1,4,26,13,0,42,161,614,261,42,1033,64.3,5,35.7,2817,1538,15,5,13,6,817,77,0,5,7,2,0,0,0,68,14,12,53.8,,,,,990,3,2,0,0,9,5,1,0,391,11,14,21,1.4,1.4,0.6,16,4,175,266,65.8,24,159,12,8,4,3557,1887,77,97,79.4,62,85,72.9,32,69,46.4,0.3,5,14,1,1,221,44,7,1,5,9,14,2,0,1,0,1,5,5,7,1,3,5,14,35.7,9,3,18,25,38,0,91,188,141,69,11,391,50.0,4,50.0,1047,528,4,5,15,10,175,24,0,7,4,1,0,0,0,51,12,14,46.2
2018-2019,2019-05-18,15:30,34,59287,Marco Fritz,Pál Dárdai,Peter Bosz,Fabian Lustenberger,Kevin Volland,4-2-3-1,3-4-3,0.36,0.64,"['Thomas Kraft', 'Per Ciljan Skjelbred', 'Karim Rekik', 'Salomon Kalou', 'Ondrej Duda', 'Lukas Klünter', 'Marko Grujić', 'Vedad Ibišević', 'Valentino Lazaro', 'Marvin Plattenhardt', 'Fabian Lustenberger', 'Dennis Smarsch', 'Peter Pekarík', 'Pascal Köpke', 'Javairô Dilrosun', 'Maximilian Mittelstädt', 'Jordan Torunarigha', 'Davie Selke']","['Thomas Kraft', 'Per Ciljan Skjelbred', 'Karim Rekik', 'Salomon Kalou', 'Ondrej Duda', 'Lukas Klünter', 'Marko Grujić', 'Vedad Ibišević', 'Valentino Lazaro', 'Marvin Plattenhardt', 'Fabian Lustenberger', 'Dennis Smarsch', 'Peter Pekarík', 'Pascal Köpke', 'Javairô Dilrosun', 'Maximilian Mittelstädt', 'Jordan Torunarigha', 'Davie Selke']",Hertha BSC,Bayer Leverkusen,,,,,990,1,1,0,0,9,4,1,0,523,13,11,8,1.4,1.4,1.2,17,1,330,423,78.0,34,315,14,23,13,5595,2161,167,193,86.5,117,141,83.0,32,60,53.3,0.4,6,15,2,0,375,47,14,2,3,10,16,4,1,1,0,1,11,11,6,6,1,3,9,33.3,6,0,8,24,12,1,45,148,275,103,11,523,56.5,10,43.5,1626,661,9,4,16,6,328,34,0,10,14,1,0,0,0,46,14,14,50.0,,,,,990,5,5,0,0,13,8,1,0,846,16,9,11,2.5,2.5,2.4,21,9,662,751,88.1,50,498,18,9,6,10192,3336,335,355,94.4,243,259,93.8,43,69,62.3,1.1,11,47,5,0,709,41,11,3,6,10,20,3,0,3,0,1,9,7,9,6,1,10,23,43.5,13,2,9,25,11,0,54,177,535,136,19,846,66.7,3,33.3,1856,935,10,5,16,10,659,49,0,14,10,1,0,0,0,49,14,14,50.0
2018-2019,2018-10-20,18:30,8,62271,Christian Dingert,Domenico Tedesco ,Florian Kohfeldt,Naldo,Max Kruse,4-4-1-1,4-3-3,0.47,0.53,"['Alexander Nübel', 'Weston McKennie', 'Hamza Mendyl', 'Omar Mascarell', 'Nabil Bentaleb', 'Daniel Caligiuri', 'Guido Burgstaller', 'Amine Harit', 'Salif Sané', 'Alessandro Schöpf', 'Naldo', 'Michael Langer', 'Matija Nastasić', 'Mark Uth', 'Suat Serdar', 'Franco Di Santo', 'Yevhen Konoplyanka', 'Sebastian Rudy']","['Alexander Nübel', 'Weston McKennie', 'Hamza Mendyl', 'Omar Mascarell', 'Nabil Bentaleb', 'Daniel Caligiuri', 'Guido Burgstaller', 'Amine Harit', 'Salif Sané', 'Alessandro Schöpf', 'Naldo', 'Michael Langer', 'Matija Nastasić', 'Mark Uth', 'Suat Serdar', 'Franco Di Santo', 'Yevhen Konoplyanka', 'Sebastian Rudy']",Schalke 04,Werder Bremen,,,,,990,0,0,0,0,12,4,1,0,583,13,17,10,1.2,1.2,0.8,21,0,349,474,73.6,40,277,22,20,11,7396,2702,116,139,83.5,159,190,83.7,67,113,59.3,1.1,10,38,5,4,416,49,10,0,9,22,28,3,2,1,0,9,11,10,7,5,1,5,8,62.5,3,1,9,30,9,0,51,188,258,142,19,583,55.0,9,45.0,1822,888,9,1,16,12,345,39,0,13,9,9,0,0,0,68,19,23,45.2,,,,,990,2,2,0,0,8,3,4,0,654,21,11,9,0.4,0.4,0.4,14,4,422,542,77.9,37,265,12,8,3,7862,3037,175,200,87.5,166,193,86.0,59,99,59.6,0.5,7,21,6,1,478,64,22,0,10,12,31,1,0,0,0,0,11,9,6,13,2,9,20,45.0,11,1,8,32,38,0,80,255,291,115,8,654,37.5,5,62.5,1277,582,6,0,11,8,420,37,0,10,13,0,0,0,0,52,23,19,54.8
2018-2019,2018-12-15,15:30,15,39301,Harm Osmers,Friedhelm Funkel,Christian Streich,Adam Bodzek,Mike Frantz,4-4-2,4-2-3-1,0.37,0.63,"['Michael Rensing', 'Kaan Ayhan', 'Benito Raman', 'Kenan Karaman', 'Adam Bodzek', 'Kevin Stöger', 'Niko Gießelmann', 'Matthias Zimmermann', 'Rouwen Hennings', 'Takashi Usami', 'Marcin Kamiński', 'Jannick Theißen', 'Oliver Fink', 'Marvin Ducksch', 'Håvard Nielsen', 'Dodi Lukebakio', 'Robin Bormuth', 'Jean Zimmer']","['Michael Rensing', 'Kaan Ayhan', 'Benito Raman', 'Kenan Karaman', 'Adam Bodzek', 'Kevin Stöger', 'Niko Gießelmann', 'Matthias Zimmermann', 'Rouwen Hennings', 'Takashi Usami', 'Marcin Kamiński', 'Jannick Theißen', 'Oliver Fink', 'Marvin Ducksch', 'Håvard Nielsen', 'Dodi Lukebakio', 'Robin Bormuth', 'Jean Zimmer']",Düsseldorf,Freiburg,,,,,990,2,2,0,0,21,8,2,0,508,15,16,12,2.1,2.1,1.8,34,3,288,388,74.2,40,235,27,17,13,6259,2638,89,105,84.8,145,189,76.7,53,84,63.1,1.4,14,32,13,3,347,40,9,1,6,16,20,4,0,4,0,1,3,8,7,6,2,6,16,37.5,10,1,11,31,30,0,50,170,215,137,22,508,76.5,4,23.5,1685,1064,18,6,13,7,286,40,0,13,10,1,0,0,0,56,23,23,50.0,,,,,990,0,0,0,0,6,2,1,0,759,11,10,6,0.8,0.8,0.7,12,0,543,658,82.5,46,465,22,16,10,10633,3330,190,215,88.4,284,317,89.6,62,99,62.6,0.8,5,35,4,0,609,49,13,0,4,13,22,1,0,1,0,0,15,7,5,4,2,4,17,23.5,13,4,2,21,15,1,56,256,360,148,13,759,62.5,6,37.5,2501,1444,15,3,21,9,534,46,0,10,12,0,0,0,0,59,23,23,50.0
2018-2019,2019-03-10,15:30,25,29015,Christian Dingert,Julian Nagelsmann,Boris Schommers,Kevin Vogt,Hanno Behrens,3-5-2,4-5-1,0.64,0.36,"['Oliver Baumann', 'Pavel Kadeřábek', 'Ermin Bičakčić', 'Florian Grillitsch', 'Nico Schulz', 'Nadiem Amiri', 'Ishak Belfodil', 'Kevin Vogt', 'Andrej Kramarić', 'Joelinton', 'Stefan Posch', 'Alexander Stolz', 'Joshua Brenet', 'Leonardo Bittencourt', 'Benjamin Hübner', 'David Otto', 'Ádám Szalai', 'Christoph Baumgartner']","['Oliver Baumann', 'Pavel Kadeřábek', 'Ermin Bičakčić', 'Florian Grillitsch', 'Nico Schulz', 'Nadiem Amiri', 'Ishak Belfodil', 'Kevin Vogt', 'Andrej Kramarić', 'Joelinton', 'Stefan Posch', 'Alexander Stolz', 'Joshua Brenet', 'Leonardo Bittencourt', 'Benjamin Hübner', 'David Otto', 'Ádám Szalai', 'Christoph Baumgartner']",Hoffenheim,Nürnberg,,,,,990,2,0,1,1,15,5,3,0,767,12,10,11,2.9,2.2,1.8,27,3,548,666,82.3,63,430,44,29,18,9457,3202,263,287,91.6,228,266,85.7,48,87,55.2,2.2,12,49,13,4,615,51,10,0,2,33,24,8,5,2,0,0,11,10,2,7,3,5,16,31.3,11,2,9,22,10,0,35,157,383,235,35,766,62.1,11,37.9,2745,1704,28,9,13,6,545,63,0,11,7,0,0,0,0,48,20,12,62.5,,,,,990,1,1,0,0,11,5,2,0,501,17,11,10,0.8,0.8,0.7,22,2,274,376,72.9,16,239,10,16,11,5313,1860,106,126,84.1,131,153,85.6,34,81,42.0,0.5,8,15,4,0,335,39,10,0,6,3,15,3,1,1,0,2,9,11,12,4,1,11,29,37.9,18,3,7,28,32,0,94,239,195,75,12,501,68.8,5,31.3,1322,806,9,1,19,7,273,16,0,9,10,2,0,1,0,48,12,20,37.5
