Date,Home Team,Away Team
12/09/2017 20:45,Benfica,CSKA Moscow
12/09/2017 20:45,Manchester United,Basel
12/09/2017 20:45,Bayern Munich,Anderlecht
12/09/2017 20:45,Celtic,Paris Saint-Germain
12/09/2017 20:45,Chelsea,Qarabag
12/09/2017 20:45,Roma,Atlético Madrid
12/09/2017 20:45,Barcelona,Juventus
12/09/2017 20:45,Olympiacos,Sporting CP
13/09/2017 20:45,Maribor,Spartak Moscow
13/09/2017 20:45,Liverpool,Sevilla
13/09/2017 20:45,Feyenoord,Manchester City
13/09/2017 20:45,Shakhtar Donetsk,Napoli
13/09/2017 20:45,RB Leipzig,Monaco
13/09/2017 20:45,Porto,Besiktas
13/09/2017 20:45,Real Madrid,APOEL
13/09/2017 20:45,Tottenham Hotspur,Borussia Dortmund
26/09/2017 20:45,Sevilla,Maribor
26/09/2017 20:45,Spartak Moscow,Liverpool
26/09/2017 20:45,Napoli,Feyenoord
26/09/2017 20:45,Manchester City,Shakhtar Donetsk
26/09/2017 20:45,Besiktas,RB Leipzig
26/09/2017 20:45,Monaco,Porto
26/09/2017 20:45,Borussia Dortmund,Real Madrid
26/09/2017 20:45,APOEL,Tottenham Hotspur
27/09/2017 18:00,Qarabag,Roma
27/09/2017 20:45,Basel,Benfica
27/09/2017 20:45,CSKA Moscow,Manchester United
27/09/2017 20:45,Paris Saint-Germain,Bayern Munich
27/09/2017 20:45,Anderlecht,Celtic
27/09/2017 20:45,Atlético Madrid,Chelsea
27/09/2017 20:45,Sporting CP,Barcelona
27/09/2017 20:45,Juventus,Olympiacos
17/10/2017 20:45,Spartak Moscow,Sevilla
17/10/2017 20:45,Maribor,Liverpool
17/10/2017 20:45,Manchester City,Napoli
17/10/2017 20:45,Feyenoord,Shakhtar Donetsk
17/10/2017 20:45,Monaco,Besiktas
17/10/2017 20:45,RB Leipzig,Porto
17/10/2017 20:45,APOEL,Borussia Dortmund
17/10/2017 20:45,Real Madrid,Tottenham Hotspur
18/10/2017 18:00,Qarabag,Atlético Madrid
18/10/2017 20:45,CSKA Moscow,Basel
18/10/2017 20:45,Benfica,Manchester United
18/10/2017 20:45,Anderlecht,Paris Saint-Germain
18/10/2017 20:45,Bayern Munich,Celtic
18/10/2017 20:45,Chelsea,Roma
18/10/2017 20:45,Juventus,Sporting CP
18/10/2017 20:45,Barcelona,Olympiacos
31/10/2017 20:45,Basel,CSKA Moscow
31/10/2017 20:45,Manchester United,Benfica
31/10/2017 20:45,Paris Saint-Germain,Anderlecht
31/10/2017 20:45,Celtic,Bayern Munich
31/10/2017 20:45,Atlético Madrid,Qarabag
31/10/2017 20:45,Roma,Chelsea
31/10/2017 20:45,Sporting CP,Juventus
31/10/2017 20:45,Olympiacos,Barcelona
01/11/2017 18:00,Besiktas,Monaco
01/11/2017 20:45,Sevilla,Spartak Moscow
01/11/2017 20:45,Liverpool,Maribor
01/11/2017 20:45,Napoli,Manchester City
01/11/2017 20:45,Shakhtar Donetsk,Feyenoord
01/11/2017 20:45,Porto,RB Leipzig
01/11/2017 20:45,Borussia Dortmund,APOEL
01/11/2017 20:45,Tottenham Hotspur,Real Madrid
21/11/2017 18:00,Spartak Moscow,Maribor
21/11/2017 18:00,Besiktas,Porto
21/11/2017 20:45,Sevilla,Liverpool
21/11/2017 20:45,Manchester City,Feyenoord
21/11/2017 20:45,Napoli,Shakhtar Donetsk
21/11/2017 20:45,Monaco,RB Leipzig
21/11/2017 20:45,APOEL,Real Madrid
21/11/2017 20:45,Borussia Dortmund,Tottenham Hotspur
22/11/2017 18:00,CSKA Moscow,Benfica
22/11/2017 18:00,Qarabag,Chelsea
22/11/2017 20:45,Basel,Manchester United
22/11/2017 20:45,Anderlecht,Bayern Munich
22/11/2017 20:45,Paris Saint-Germain,Celtic
22/11/2017 20:45,Atlético Madrid,Roma
22/11/2017 20:45,Juventus,Barcelona
22/11/2017 20:45,Sporting CP,Olympiacos
05/12/2017 20:45,Benfica,Basel
05/12/2017 20:45,Manchester United,CSKA Moscow
05/12/2017 20:45,Bayern Munich,Paris Saint-Germain
05/12/2017 20:45,Celtic,Anderlecht
05/12/2017 20:45,Chelsea,Atlético Madrid
05/12/2017 20:45,Roma,Qarabag
05/12/2017 20:45,Barcelona,Sporting CP
05/12/2017 20:45,Olympiacos,Juventus
06/12/2017 20:45,Maribor,Sevilla
06/12/2017 20:45,Liverpool,Spartak Moscow
06/12/2017 20:45,Feyenoord,Napoli
06/12/2017 20:45,Shakhtar Donetsk,Manchester City
06/12/2017 20:45,RB Leipzig,Besiktas
06/12/2017 20:45,Porto,Monaco
06/12/2017 20:45,Real Madrid,Borussia Dortmund
06/12/2017 20:45,Tottenham Hotspur,APOEL
13/02/2018 20:45,Juventus,Tottenham Hotspur
13/02/2018 20:45,Basel,Manchester City
14/02/2018 20:45,Porto,Liverpool
14/02/2018 20:45,Real Madrid,Paris Saint-Germain
20/02/2018 20:45,Chelsea,Barcelona
20/02/2018 20:45,Bayern Munich,Besiktas
21/02/2018 20:45,Sevilla,Manchester United
21/02/2018 20:45,Shakhtar Donetsk,Roma
06/03/2018 20:45,Liverpool,Porto
06/03/2018 20:45,Paris Saint-Germain,Real Madrid
07/03/2018 20:45,Tottenham Hotspur,Juventus
07/03/2018 20:45,Manchester City,Basel
13/03/2018 20:45,Manchester United,Sevilla
13/03/2018 20:45,Roma,Shakhtar Donetsk
14/03/2018 18:00,Besiktas,Bayern Munich
14/03/2018 20:45,Barcelona,Chelsea
03/04/2018 20:45,Sevilla,Bayern Munich
03/04/2018 20:45,Juventus,Real Madrid
04/04/2018 20:45,Liverpool,Manchester City
04/04/2018 20:45,Barcelona,Roma
10/04/2018 20:45,Manchester City,Liverpool
10/04/2018 20:45,Roma,Barcelona
11/04/2018 20:45,Bayern Munich,Sevilla
11/04/2018 20:45,Real Madrid,Juventus
24/04/2018 20:45,Liverpool,Roma
25/04/2018 20:45,Bayern Munich,Real Madrid
01/05/2018 20:45,Real Madrid,Bayern Munich
02/05/2018 20:45,Roma,Liverpool
26/05/2018 20:45,Real Madrid,Liverpool
