Date,Home Team,Away Team
08/09/2022 16:45,Zürich,Arsenal
08/09/2022 16:45,PSV,Bodø/Glimt
08/09/2022 16:45,AEK Larnaca,Rennes
08/09/2022 16:45,Fenerbahçe,Dynamo Kyiv
08/09/2022 16:45,Ludogorets,Roma
08/09/2022 16:45,HJK,Betis
08/09/2022 16:45,Malmö,Braga
08/09/2022 16:45,Union Berlin,Union SG
08/09/2022 19:00,Lazio,Feyenoord
08/09/2022 19:00,Sturm,Midtjylland
08/09/2022 19:00,Man United,Real Sociedad
08/09/2022 19:00,Omonoia,Sheriff
08/09/2022 19:00,Nantes,Olympiacos
08/09/2022 19:00,Freiburg,Qarabag
08/09/2022 19:00,Crvena zvezda,Monaco
08/09/2022 19:00,Ferencváros,Trabzonspor
15/09/2022 16:45,Midtjylland,Lazio
15/09/2022 16:45,Feyenoord,Sturm
15/09/2022 16:45,Sheriff,Man United
15/09/2022 16:45,Real Sociedad,Omonoia
15/09/2022 16:45,Olympiacos,Freiburg
15/09/2022 16:45,Qarabag,Nantes
15/09/2022 16:45,Trabzonspor,Crvena zvezda
15/09/2022 16:45,Monaco,Ferencváros
15/09/2022 19:00,Bodø/Glimt,Zürich
15/09/2022 19:00,Dynamo Kyiv,AEK Larnaca
15/09/2022 19:00,Rennes,Fenerbahçe
15/09/2022 19:00,Betis,Ludogorets
15/09/2022 19:00,Roma,HJK
15/09/2022 19:00,Union SG,Malmö
15/09/2022 19:00,Braga,Union Berlin
20/10/2022 17:00,Arsenal,PSV
06/10/2022 16:45,Sturm,Lazio
06/10/2022 16:45,Sheriff,Real Sociedad
06/10/2022 16:45,Omonoia,Man United
06/10/2022 16:45,Zürich,PSV
06/10/2022 16:45,HJK,Ludogorets
06/10/2022 16:45,Malmö,Union Berlin
06/10/2022 16:45,Crvena zvezda,Ferencváros
06/10/2022 16:45,Monaco,Trabzonspor
06/10/2022 19:00,Midtjylland,Feyenoord
06/10/2022 19:00,Arsenal,Bodø/Glimt
06/10/2022 19:00,Rennes,Dynamo Kyiv
06/10/2022 19:00,Fenerbahçe,AEK Larnaca
06/10/2022 19:00,Roma,Betis
06/10/2022 19:00,Braga,Union SG
06/10/2022 19:00,Olympiacos,Qarabag
06/10/2022 19:00,Freiburg,Nantes
13/10/2022 16:45,Feyenoord,Midtjylland
13/10/2022 16:45,Bodø/Glimt,Arsenal
13/10/2022 16:45,Dynamo Kyiv,Rennes
13/10/2022 16:45,AEK Larnaca,Fenerbahçe
13/10/2022 16:45,Betis,Roma
13/10/2022 16:45,Union SG,Braga
13/10/2022 16:45,Nantes,Freiburg
13/10/2022 16:45,Qarabag,Olympiacos
13/10/2022 19:00,Lazio,Sturm
13/10/2022 19:00,Man United,Omonoia
13/10/2022 19:00,Real Sociedad,Sheriff
13/10/2022 19:00,PSV,Zürich
13/10/2022 19:00,Ludogorets,HJK
13/10/2022 19:00,Union Berlin,Malmö
13/10/2022 19:00,Trabzonspor,Monaco
13/10/2022 19:00,Ferencváros,Crvena zvezda
27/10/2022 16:45,Lazio,Midtjylland
27/10/2022 16:45,Zürich,Bodø/Glimt
27/10/2022 16:45,PSV,Arsenal
27/10/2022 16:45,Fenerbahçe,Rennes
27/10/2022 16:45,AEK Larnaca,Dynamo Kyiv
27/10/2022 16:45,Ludogorets,Betis
27/10/2022 16:45,Malmö,Union SG
27/10/2022 16:45,Union Berlin,Braga
27/10/2022 19:00,Sturm,Feyenoord
27/10/2022 19:00,Man United,Sheriff
27/10/2022 19:00,Omonoia,Real Sociedad
27/10/2022 19:00,HJK,Roma
27/10/2022 19:00,Freiburg,Olympiacos
27/10/2022 19:00,Nantes,Qarabag
27/10/2022 19:00,Crvena zvezda,Trabzonspor
27/10/2022 19:00,Ferencváros,Monaco
03/11/2022 17:45,Midtjylland,Sturm
03/11/2022 17:45,Feyenoord,Lazio
03/11/2022 17:45,Real Sociedad,Man United
03/11/2022 17:45,Sheriff,Omonoia
03/11/2022 17:45,Qarabag,Freiburg
03/11/2022 17:45,Olympiacos,Nantes
03/11/2022 17:45,Trabzonspor,Ferencváros
03/11/2022 17:45,Monaco,Crvena zvezda
03/11/2022 20:00,Arsenal,Zürich
03/11/2022 20:00,Bodø/Glimt,PSV
03/11/2022 20:00,Dynamo Kyiv,Fenerbahçe
03/11/2022 20:00,Rennes,AEK Larnaca
03/11/2022 20:00,Roma,Ludogorets
03/11/2022 20:00,Betis,HJK
03/11/2022 20:00,Union SG,Union Berlin
03/11/2022 20:00,Braga,Malmö
16/02/2023 17:45,Barcelona,Man United
16/02/2023 17:45,Shakhtar Donetsk,Rennes
16/02/2023 17:45,Ajax,Union Berlin
16/02/2023 17:45,Salzburg,Roma
16/02/2023 20:00,Juventus,Nantes
16/02/2023 20:00,Sporting CP,Midtjylland
16/02/2023 20:00,Leverkusen,Monaco
16/02/2023 20:00,Sevilla,PSV
23/02/2023 17:45,Nantes,Juventus
23/02/2023 17:45,Midtjylland,Sporting CP
23/02/2023 17:45,Monaco,Leverkusen
23/02/2023 17:45,PSV,Sevilla
23/02/2023 20:00,Man United,Barcelona
23/02/2023 20:00,Rennes,Shakhtar Donetsk
23/02/2023 20:00,Union Berlin,Ajax
23/02/2023 20:00,Roma,Salzburg
09/03/2023 17:45,Union Berlin,Union SG
09/03/2023 17:45,Leverkusen,Fenerbahçe
09/03/2023 17:45,Sporting CP,Arsenal
09/03/2023 17:45,Roma,Real Sociedad
09/03/2023 20:00,Sevilla,Fenerbahçe
09/03/2023 20:00,Juventus,Freiburg
09/03/2023 20:00,Man United,Betis
09/03/2023 20:00,Shakhtar Donetsk,Feyenoord
16/03/2023 17:45,Fenerbahçe,Sevilla
16/03/2023 17:45,Freiburg,Juventus
16/03/2023 17:45,Betis,Man United
16/03/2023 17:45,Feyenoord,Shakhtar Donetsk
16/03/2023 20:00,Union SG,Union Berlin
16/03/2023 20:00,Ferencváros,Leverkusen
16/03/2023 20:00,Arsenal,Sporting CP
16/03/2023 20:00,Real Sociedad,Roma
13/04/2023 16:45,Feyenoord,Roma
13/04/2023 19:00,Man United,Sevilla
13/04/2023 19:00,Juventus,Sporting CP
13/04/2023 19:00,Leverkusen,Union SG
20/04/2023 19:00,Sevilla,Man United
20/04/2023 19:00,Sporting CP,Juventus
20/04/2023 19:00,Union SG,Leverkusen
20/04/2023 19:00,Roma,Feyenoord
